421;19950406;06;08;18;29;30
420;19950403;01;09;28;30;33
436;19950529;01;06;22;24;33
435;19950525;01;10;23;24;32
434;19950522;02;20;21;33;34
433;19950518;20;24;29;32;33
432;19950515;03;06;26;29;33
431;19950511;05;16;32;33;34
430;19950508;09;10;19;27;31
429;19950504;05;22;27;28;35
428;19950501;02;07;21;23;30
445;19950629;07;15;26;30;34
444;19950626;08;18;19;33;35
443;19950622;04;13;19;25;35
442;19950619;02;06;15;19;22
441;19950615;09;15;19;33;35
440;19950612;05;12;15;16;24
439;19950608;08;12;20;24;26
438;19950605;01;09;16;27;31
437;19950601;04;16;18;21;26
454;19950731;12;13;18;20;31
453;19950727;02;09;15;26;33
452;19950724;01;06;09;15;32
451;19950720;03;14;20;23;28
450;19950717;02;08;11;16;21
449;19950713;03;04;05;10;24
448;19950710;04;13;22;32;34
447;19950706;05;08;11;23;29
446;19950703;02;11;13;21;33
463;19950831;01;05;15;20;28
462;19950828;16;17;21;22;25
461;19950824;06;07;08;33;35
460;19950821;03;14;22;28;29
459;19950817;01;15;26;31;34
458;19950814;16;27;30;31;34
457;19950810;02;11;17;18;19
456;19950807;02;07;10;20;22
455;19950803;02;05;10;12;17
471;19950928;03;10;23;31;35
470;19950925;08;13;22;29;35
469;19950921;05;06;19;22;30
468;19950918;05;06;11;12;28
467;19950914;15;18;24;26;34
466;19950911;18;19;28;34;35
465;19950907;09;14;15;20;22
464;19950904;06;07;09;33;34
480;19951030;03;05;11;14;28
479;19951026;09;10;16;18;30
478;19951023;07;08;09;16;18
477;19951019;02;07;16;17;23
476;19951016;07;11;13;16;27
475;19951012;02;09;17;22;35
474;19951009;09;10;13;21;26
473;19951005;03;24;25;30;32
472;19951002;02;20;22;25;30
489;19951130;06;09;12;29;30
488;19951127;04;10;17;24;34
487;19951123;14;24;27;28;32
486;19951120;03;14;18;22;31
485;19951116;01;04;13;14;30
484;19951113;03;24;26;31;32
483;19951109;02;08;14;21;27
482;19951106;05;09;11;16;17
481;19951102;04;06;13;20;24
506;19960129;08;12;14;15;18
505;19960125;03;09;13;20;31
504;19960122;02;04;18;24;31
503;19960118;02;15;22;24;30
502;19960115;10;14;16;24;26
501;19960111;13;15;27;28;32
500;19960108;05;09;24;30;32
499;19960104;03;06;11;13;21
498;19960101;11;12;17;27;31
515;19960229;03;20;22;28;33
514;19960226;05;21;23;30;32
513;19960222;15;19;24;31;32
512;19960219;15;22;23;28;35
511;19960215;05;19;20;23;33
510;19960212;04;10;17;26;31
509;19960208;13;26;28;32;33
508;19960205;07;10;12;17;22
507;19960201;18;19;22;30;32
523;19960328;07;17;19;24;34
522;19960325;02;05;06;17;28
521;19960321;01;03;07;11;32
520;19960318;08;10;17;19;22
519;19960314;03;07;13;15;28
518;19960311;02;08;11;12;32
517;19960307;09;14;20;27;34
516;19960304;07;13;26;27;35
532;19960429;04;11;22;23;30
531;19960425;03;08;14;18;19
530;19960422;01;07;14;19;35
529;19960418;01;02;04;30;35
528;19960415;04;05;11;24;30
527;19960411;04;08;09;15;20
526;19960408;03;05;25;27;34
525;19960404;04;15;27;29;32
524;19960401;05;09;11;15;34
541;19960530;04;06;10;30;34
540;19960527;09;13;18;22;25
539;19960523;05;11;18;21;22
538;19960520;01;06;17;20;31
537;19960516;01;02;03;09;30
536;19960513;02;04;06;24;31
535;19960509;04;11;13;15;28
534;19960506;02;14;15;21;32
533;19960502;03;15;21;23;33
549;19960627;04;08;14;15;31
548;19960624;03;04;21;22;33
547;19960620;04;12;18;20;27
546;19960617;16;19;21;27;28
545;19960613;06;19;22;24;25
544;19960610;08;17;21;26;27
543;19960606;07;26;27;31;33
542;19960603;02;05;06;15;24
558;19960729;11;16;29;32;35
557;19960725;09;24;28;30;35
556;19960722;14;16;20;26;32
555;19960718;10;13;23;25;26
554;19960715;06;10;17;22;24
553;19960711;08;12;25;28;34
552;19960708;24;30;32;33;35
551;19960704;03;17;28;29;32
550;19960701;23;25;29;31;32
567;19960829;06;19;26;30;32
566;19960826;01;06;16;17;20
565;19960822;06;14;22;32;33
564;19960819;12;20;30;33;34
563;19960815;03;05;07;11;32
562;19960812;08;18;19;25;34
561;19960808;12;13;16;17;22
560;19960805;07;14;17;21;22
559;19960801;03;06;15;28;30
576;19960930;01;12;15;28;29
575;19960926;03;06;28;32;35
574;19960923;01;02;20;24;29
573;19960919;02;04;10;12;16
572;19960916;03;06;16;20;33
571;19960912;07;18;24;31;34
570;19960909;04;06;08;12;33
569;19960905;01;12;16;29;33
568;19960902;16;17;18;30;35
585;19961031;07;15;16;30;35
584;19961028;02;03;13;17;23
583;19961024;04;05;11;23;27
582;19961021;17;18;19;22;30
581;19961017;07;10;21;30;34
580;19961014;02;15;22;23;31
579;19961010;09;13;23;26;33
578;19961007;19;20;22;26;32
577;19961003;06;13;14;26;28
593;19961128;02;04;09;20;29
592;19961125;06;25;26;28;32
591;19961121;06;11;23;30;33
590;19961118;02;13;14;26;31
589;19961114;02;13;16;17;29
588;19961111;02;07;11;22;31
587;19961107;03;14;18;19;26
586;19961104;02;08;14;17;26
611;19970130;14;27;29;31;32
610;19970127;10;12;17;30;32
609;19970123;01;02;09;12;31
608;19970120;05;06;10;24;34
607;19970116;04;28;30;31;33
606;19970113;13;15;19;23;34
605;19970109;06;19;26;29;30
604;19970106;04;07;12;17;20
603;19970102;12;17;21;25;28
619;19970227;06;15;17;23;26
618;19970224;07;11;12;21;31
617;19970220;01;02;12;21;35
616;19970217;01;06;08;13;22
615;19970213;05;14;20;31;32
614;19970210;01;04;10;16;27
613;19970206;02;17;26;27;29
612;19970203;01;06;17;29;32
627;19970328;03;12;24;32;33
626;19970325;07;10;16;23;27
625;19970321;03;04;05;18;29
624;19970318;12;15;18;19;30
623;19970314;01;13;21;26;29
622;19970311;05;06;08;25;35
621;19970307;06;09;16;17;34
620;19970304;04;09;14;20;32
636;19970429;02;10;19;31;34
635;19970425;07;08;12;25;26
634;19970422;01;15;21;23;33
633;19970418;02;03;08;13;29
632;19970415;15;23;26;28;30
631;19970411;03;20;25;32;34
630;19970408;05;09;12;16;18
629;19970404;03;04;06;10;22
628;19970401;02;09;16;25;33
645;19970530;04;09;11;29;30
644;19970527;01;12;26;30;35
643;19970523;05;13;15;21;34
642;19970520;14;23;30;32;35
641;19970516;22;23;28;30;33
640;19970513;02;06;10;25;31
639;19970509;05;14;17;29;35
638;19970506;03;14;16;24;35
637;19970502;09;25;27;32;34
653;19970627;01;20;22;23;35
652;19970624;15;25;28;30;34
651;19970620;03;13;24;25;30
650;19970617;03;04;07;22;32
649;19970613;04;11;14;20;33
648;19970610;09;10;23;31;33
647;19970606;03;05;07;27;29
646;19970603;07;19;21;27;34
662;19970729;11;15;20;23;25
661;19970725;06;13;28;32;35
660;19970722;06;10;11;14;29
659;19970718;03;06;13;14;35
658;19970715;01;03;07;19;34
657;19970711;06;13;20;28;32
656;19970708;14;16;23;24;29
655;19970704;17;18;25;26;29
654;19970701;04;13;23;28;30
671;19970829;01;09;11;22;26
670;19970826;06;10;11;25;26
669;19970822;04;21;28;29;33
668;19970819;07;16;19;25;30
667;19970815;02;05;06;17;20
666;19970812;01;08;18;33;34
665;19970808;15;17;19;23;31
664;19970805;04;08;09;15;26
663;19970801;11;16;18;22;34
680;19970930;12;17;19;22;34
679;19970926;06;11;13;20;35
678;19970923;14;21;27;32;33
677;19970919;08;11;22;31;35
676;19970916;02;18;25;26;35
675;19970912;08;09;16;21;25
674;19970909;02;03;09;13;32
673;19970905;02;08;22;27;29
672;19970902;03;13;14;30;34
689;19971031;08;12;14;16;28
688;19971028;03;06;11;19;26
687;19971024;08;17;23;31;32
686;19971021;02;10;17;29;31
685;19971017;05;12;17;22;32
684;19971014;03;05;06;10;33
683;19971010;02;10;13;21;30
682;19971007;03;09;12;25;30
681;19971003;03;04;10;30;31
697;19971128;08;19;20;28;30
696;19971125;08;10;15;25;28
695;19971121;08;14;17;19;28
694;19971118;08;12;15;30;34
693;19971114;04;08;14;23;24
692;19971111;04;12;16;25;34
691;19971107;07;14;18;21;23
690;19971104;13;17;22;28;35
715;19980130;01;02;08;18;30
714;19980127;15;20;21;22;23
713;19980123;11;20;26;32;35
712;19980120;05;14;19;22;25
711;19980116;06;07;11;22;31
710;19980113;05;12;14;20;31
